"","Rhizobiaceae","Pseudomonadaceae","Burkholderiaceae","(Order)Hyphomicrobiales","Mycobacteriaceae","Pseudonocardiaceae","Paenibacillaceae","Clostridiaceae","Hymenobacteraceae","Comamonadaceae","Corynebacteriaceae","Micrococcaceae","Streptomycetaceae","Phyllobacteriaceae","Rhodobacteraceae","Vibrionaceae","Acetobacteraceae","Streptococcaceae","Aeromonadaceae","Microbacteriaceae","Actinomycetaceae","Sphingomonadaceae","Sphingobacteriaceae","Peptococcaceae","Flavobacteriaceae","Bifidobacteriaceae","Bradyrhizobiaceae","Bacteroidaceae","Oscillospiraceae","Nocardiaceae","Cytophagaceae","Bacillaceae","Lachnospiraceae","Cystobacterineae","Lactobacillaceae","Geobacteraceae","Roseobacteraceae","Porphyromonadaceae","Caulobacteraceae","Staphylococcaceae","(Order)Bacillales","Alcaligenaceae","Xanthomonadaceae","(Order)Burkholderiales","Treponemataceae","Chlorobiaceae","Chitinophagaceae","Enterobacteriaceae","Oxalobacteraceae","Weeksellaceae","Atopobiaceae","Eubacteriaceae","Prevotellaceae","Nocardioidaceae","Halomonadaceae","Desulfovibrionaceae","Enterococcaceae","Peptostreptococcaceae","Chromobacteriaceae","(Class)Alphaproteobacteria","Erythrobacteraceae","Barnesiellaceae","Erysipelotrichaceae","(Class)Gammaproteobacteria","Dysgonomonadaceae","Eggerthellaceae","(Order)Eubacteriales","Tannerellaceae","Turicibacteraceae","(Phylum)Firmicutes","(Phylum)Proteobacteria","Rikenellaceae","(Class)Actinomycetia","Muribaculaceae","(Order)Bacteroidales","Odoribacteraceae","(Unclassified)Bacteria","Akkermansiaceae","(Phylum)Bacteroidetes","(Class)Bacilli","xCD28","xCD57","xIL7","xTIM3","xPD1","xTLR2","xTLR4","xReg3g","xSerumIL6"
"Rhizobiaceae",1,0,0,0,0,0,0,0,0,0,0.920249905724505,0,0,0,0,0.853102908710038,0.894014860246811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.931387946150018,0.818680087547394,0,0,0.868182261243458,0,0,0,0,0,0,0,0.841752942607431,0,0,0,0,0,0,0.86552762548877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.871786475029286,0.899601149857905,0,0,0,0.849539599967689,0,0,0,0.906964214825316,0,0,0,0,0,0,0,0
"Pseudomonadaceae",0,1,0.902362525672067,0,0,0,0,0,0,0,0,0,0,0,0.914145258244086,0,0,0,0.940128399896674,0,0,0,0,0,0.913133647470097,0,0,0,0,0,0,0,0,0,0,0,0.817661833890371,0,0,0,0,0,0,0,0,0,0,0,0,0.847436666312817,0,0,0,0.847291535451347,0.856109228323482,0,0,0,0,0.835994735853912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkholderiaceae",0,0.902362525672067,1,0,0,0,0,0,0,0,0,0,0,0,0.919971032847562,0,0,0,0.936689041289975,0,0.871251864446412,0,0,0,0.898302717563082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826399843692611,0,0,0,0,0.920686621675575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.846557903837188,0,0,0.831866526568948,0,0,0,0,0,0.817160616691785,0,0
"(Order)Hyphomicrobiales",0,0,0,1,0,0,0,0,0,0.935447885575815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mycobacteriaceae",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909297463619862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832980916699139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.924591705412025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.894645443388261,0
"Pseudonocardiaceae",0,0,0,0,0,1,0.850720114457402,0.844362768953736,0,0,0,0,0.877552859749369,0,0,0.831051255979655,0,0,0,0,0,0,0,0.825457704633734,0,0,0,0,0.855868851586592,0,0,0,0.81613678788754,0,0,0,0,0,0,0,0,0,0,0,0.881553677076076,0,-0.837787760826976,0,0,0,0,0.834505880693234,0,0,0,0,0.816533593236195,0,0,0,0,-0.834748343186708,0,0,0,0,0.846211114787328,0,-0.876367276496008,0,0,0,0,0,0,0,0,0,-0.830285375628569,0,0,0,0,0,0,0,0,0,0
"Paenibacillaceae",0,0,0,0,0,0.850720114457402,1,0.99571609496153,-0.889867481707185,0,0,0,0.843343713038392,0,0,0.914452680560409,0.83510700845845,0,0,0,0,0,0,0.998417583881672,0,-0.846939258332105,-0.961188507766857,0,0.991038509240786,0,-0.813902050762259,0.979180503517145,0.996348450068431,0,-0.887848751104289,0.858244115012013,0,-0.857612522178059,0,0,0.960489610277472,0,0,0,0.988507283959146,0,-0.873521430644926,0.8170409300028,0,0,0.925749699627807,0.998661697123,-0.846989551335275,0,0,0.861203436119085,0.994885018484215,0.993839181170958,0,0,0,-0.859572719176318,0,0,0,0,0.995953621500592,-0.822631767196253,-0.946641594161677,0.995424789074101,0,0,0,-0.825411583266011,0,0,0,0,-0.848451776213135,0,0,0,0,0,0,0,0,0,0
"Clostridiaceae",0,0,0,0,0,0.844362768953736,0.99571609496153,1,-0.912758418492173,0,0,0,0.875321264759047,0,0,0.920092888405745,0.822485774842926,0,0,0,0,0,0,0.996722237178713,0,-0.814215971764084,-0.962550040376164,0,0.987574579098433,0,-0.814687171589841,0.970184515055773,0.996035166482377,0,-0.847575723834519,0.855763764380174,0,-0.877340313771983,0,0.81277880331589,0.948821876062108,0,0,0,0.975138157858372,0,-0.876853384946142,0,0,0,0.91289076041301,0.994255783964535,-0.877151295491054,0,0,0.862378969767591,0.998133062621261,0.990709752658274,0,0,0,-0.881359601623773,0,0,0,0,0.993913749213168,-0.860167025890679,-0.931547770515201,0.991179342259205,0,0,0,-0.853199326864522,-0.83898604426439,0,0,0,-0.872742933894633,0,0,0,0.836208769574147,0,0,0.851110029287784,0,0,0
"Hymenobacteraceae",0,0,0,0,0,0,-0.889867481707185,-0.912758418492173,1,0,0,0,-0.843217545098084,0,0,0,0,0,0,0,0,0.831787751110066,0.840306681249491,-0.896755312910438,0,0,0.861517240927655,0,-0.929662554731715,0,0.915559303470292,0,-0.909941521066818,0,0,0,0,0.984498914188463,0,0,0,0,0,0,-0.832597168321385,0,0.965845864014542,0,0,0,0,-0.895964528229583,0.991511922423909,0,0,0,-0.911892455599697,-0.889052802608783,0,0,0.855492858196179,0.986067122118391,0,0,0.940019508797501,0,-0.922753241110026,0.973825669855638,0.887649276256989,-0.879802952703609,0,0,0,0.983236285690068,0.9657249809803,0.949392763787636,0,0,0.975993586831389,0,0,0,0,0,0,0,0,0,0
"Comamonadaceae",0,0,0,0.935447885575815,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacteriaceae",0.920249905724505,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.87809404674253,0.982804483055578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826506786791188,0,0,0,0.930199304891768,0.869735129502816,0,0,0.927981905952084,0.836758753499618,0,0,0,0,0,0,0,0,0,0.861482164934023,0,0,0,0,0.851018470899866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.938784045015507,0.813893416127284,0,0,0,0.812354939334999,0,0,0,0.856636705980152,0,0,0,0,0,0,0,0
"Micrococcaceae",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.896242920535753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptomycetaceae",0,0,0,0,0,0.877552859749369,0.843343713038392,0.875321264759047,-0.843217545098084,0,0,0,1,0,0,0.911115195853227,0,0,0,0,0,0,0,0.839952006074753,0,0,0,0,0.837399081992526,0,0,0,0.835241244802711,0,0,0.832731692622837,0,0,0,0,0,0,0,0,0.818882009678937,0,0,0,0,0,0,0.833607105583551,-0.850484200424061,0,0,0,0.854074907507273,0.812026020524057,0,0,0,-0.846507858870155,0,0,-0.81848830834598,0,0.840942163510682,-0.902310105952819,0,0,0,0,0,-0.855077732890784,-0.894433002401704,0,0,0,-0.843475325063703,0,0,0,0,0,0,0,0,0,0
"Phyllobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87104369254924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969089479541056,0,0,0,0,0,0,0
"Rhodobacteraceae",0,0.914145258244086,0.919971032847562,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.86816924426962,0,0,0,0,0,0.939140351716663,0,0,0,0,0,0,0,0,0,0,0,0.938256966287567,0,0,0,0,0,0,0,0,0,0,0,0,0.832580066627444,0,0,0,0,0,0,0,0,0,0.854969361055518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.841472559828493,0,0,0,0,0,0,0,0
"Vibrionaceae",0.853102908710038,0,0,0,0,0.831051255979655,0.914452680560409,0.920092888405745,0,0,0.87809404674253,0,0.911115195853227,0,0,1,0.902938279113001,0,0,0,0,0,0,0.911718410667513,0,0,-0.837223567308366,0,0.875702197308494,0,0,0.920260677321609,0.89858995991668,0,0,0.98361922770001,0,0,0,0.904185563861033,0.893041821844926,0,0,0,0.912433030114722,0,0,0,0,0,0.86847509518738,0.907131514296973,0,0,0,0.848958526915081,0.910500410804285,0.898428229574177,0,0,0,0,0,0,0,0,0.88814418265852,0,0,0.899359985924185,0,-0.843965024800825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetobacteraceae",0.894014860246811,0,0,0,0,0,0.83510700845845,0.822485774842926,0,0,0.982804483055578,0,0,0,0,0.902938279113001,1,0,0,0,0,0,0,0.833262592262849,0,0,-0.817354026309267,0,0,0,0,0.907404746206243,0.814907615073528,0,0,0.936427246980649,0,0,0,0.959404619077775,0.919768046547257,0,0,0,0.858733484136153,0,0,0.821859302727947,0,0,0.909400653223826,0.824233743846663,0,0,0,0.878199118856462,0.821278284380647,0.832992732012783,0,0,0,0,0,0,0,0,0,0,0,0.846051805717442,0,-0.952155881645183,0,0,0,0,0.858647593255585,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
